reference,runtime_code,stage,message,data_state,recovery,source
MD-E088,TARGETED_BATCH_NOT_ASSIGNED_TO_ACTOR,Batch preparation / submission / derivation,The Targeted Batch is not assigned to this field user.,Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Reopen the assigned row, confirm team/workbase/ERF/premise and current row state; supervisor resolves correlation conflicts. Preserve the original transaction identity.",MD-S43:1030
MD-E089,TARGETED_BATCH_NOT_READY,Batch preparation / submission / derivation,Template: ${tbId} has not completed permanent Targeted Batch creation.,Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Reopen the assigned row, confirm team/workbase/ERF/premise and current row state; supervisor resolves correlation conflicts. Preserve the original transaction identity.",MD-S43:248
MD-E090,TARGETED_BATCH_OPERATION_TYPE_INVALID,Batch preparation / submission / derivation,Premise creation is only supported for Meter Discovery Targeted Batch rows.,Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Reopen the assigned row, confirm team/workbase/ERF/premise and current row state; supervisor resolves correlation conflicts. Preserve the original transaction identity.",MD-S43:480
MD-E091,TARGETED_BATCH_PARENT_ID_MISMATCH,Batch preparation / submission / derivation,The Targeted Batch parent ID does not match the request.,Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Reopen the assigned row, confirm team/workbase/ERF/premise and current row state; supervisor resolves correlation conflicts. Preserve the original transaction identity.",MD-S43:669; MD-S43:1110
MD-E092,TARGETED_BATCH_PREMISE_CONFLICT,Batch preparation / submission / derivation,Template: ${context.rowId} is linked to another premise. | The existing premise belongs to another ERF.,Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Reopen the assigned row, confirm team/workbase/ERF/premise and current row state; supervisor resolves correlation conflicts. Preserve the original transaction identity.",MD-S43:738; MD-S43:346
MD-E093,TARGETED_BATCH_PREMISE_CONTEXT_CONFLICT,Batch preparation / submission / derivation,The existing premise is linked to another Targeted Batch row.,Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Reopen the assigned row, confirm team/workbase/ERF/premise and current row state; supervisor resolves correlation conflicts. Preserve the original transaction identity.",MD-S43:363
MD-E094,TARGETED_BATCH_PREMISE_CONTEXT_MISMATCH,Batch preparation / submission / derivation,The linked premise does not carry the expected Targeted Batch context.,Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Reopen the assigned row, confirm team/workbase/ERF/premise and current row state; supervisor resolves correlation conflicts. Preserve the original transaction identity.",MD-S43:1169
MD-E095,TARGETED_BATCH_PREMISE_LINK_MISMATCH,Batch preparation / submission / derivation,The Targeted Batch Row points to another premise.,Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Reopen the assigned row, confirm team/workbase/ERF/premise and current row state; supervisor resolves correlation conflicts. Preserve the original transaction identity.",MD-S43:1152
MD-E096,TARGETED_BATCH_PREMISE_LINK_MISSING,Batch preparation / submission / derivation,A linked Targeted Batch premise is required.,Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Reopen the assigned row, confirm team/workbase/ERF/premise and current row state; supervisor resolves correlation conflicts. Preserve the original transaction identity.",MD-S43:1234
MD-E097,TARGETED_BATCH_ROW_EXECUTION_STATE_INVALID,Batch preparation / submission / derivation,"Template: ${rowId} has unsupported execution status ${executionStatus || ""UNKNOWN""}.",Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Reopen the assigned row, confirm team/workbase/ERF/premise and current row state; supervisor resolves correlation conflicts. Preserve the original transaction identity.",MD-S43:325
MD-E098,TARGETED_BATCH_ROW_ID_MISMATCH,Batch preparation / submission / derivation,The Targeted Batch Row ID does not match the request.,Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Reopen the assigned row, confirm team/workbase/ERF/premise and current row state; supervisor resolves correlation conflicts. Preserve the original transaction identity.",MD-S43:683; MD-S43:1124
MD-E099,TARGETED_BATCH_ROW_NOT_ACCEPTED,Batch preparation / submission / derivation,Template: ${rowId} is not an accepted Targeted Batch row.,Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Reopen the assigned row, confirm team/workbase/ERF/premise and current row state; supervisor resolves correlation conflicts. Preserve the original transaction identity.",MD-S43:295
MD-E100,TARGETED_BATCH_ROW_NOT_ALLOCATABLE,Batch preparation / submission / derivation,Template: ${rowId} is not allocatable.,Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Reopen the assigned row, confirm team/workbase/ERF/premise and current row state; supervisor resolves correlation conflicts. Preserve the original transaction identity.",MD-S43:303
MD-E101,TARGETED_BATCH_ROW_NOT_ALLOCATED,Batch preparation / submission / derivation,Template: ${rowId} has not been allocated for field execution.,Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Reopen the assigned row, confirm team/workbase/ERF/premise and current row state; supervisor resolves correlation conflicts. Preserve the original transaction identity.",MD-S43:310
MD-E102,TARGETED_BATCH_ROW_PARENT_MISMATCH,Batch preparation / submission / derivation,The Targeted Batch Row belongs to another parent batch.,Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Reopen the assigned row, confirm team/workbase/ERF/premise and current row state; supervisor resolves correlation conflicts. Preserve the original transaction identity.",MD-S43:676; MD-S43:1117
MD-E103,TARGETED_BATCH_SALES_LINK_MISMATCH,Batch preparation / submission / derivation,The Targeted Batch Row points to another Sales document. | The Targeted Batch context points to another Sales document.,Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Reopen the assigned row, confirm team/workbase/ERF/premise and current row state; supervisor resolves correlation conflicts. Preserve the original transaction identity.",MD-S43:693; MD-S43:1131; MD-S43:1138
MD-E104,TARGETED_BATCH_SCOPE_MISSING,Batch preparation / submission / derivation,Template: ${label} does not carry the required LM and ward scope.,Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Reopen the assigned row, confirm team/workbase/ERF/premise and current row state; supervisor resolves correlation conflicts. Preserve the original transaction identity.",MD-S43:103
MD-E105,TARGETED_BATCH_USE_NO_ACCESS_FLOW,Batch preparation / submission / derivation,Use the Targeted Batch No Access action when the site cannot be accessed.,Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,Use the dedicated Targeted Batch No Access action for this assigned visit. Preserve any existing draft/evidence and resolve the route with the supervisor; do not invent an accessed meter.,MD-S43:1213
MD-E106,TARGETED_BATCH_WARD_SCOPE_MISMATCH,Batch preparation / submission / derivation,"The Targeted Batch, TB Row, ERF and premise do not share one ward scope.",Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Reopen the assigned row, confirm team/workbase/ERF/premise and current row state; supervisor resolves correlation conflicts. Preserve the original transaction identity.",MD-S43:156
MD-E107,TOKEN_READING_PHOTO_REQUIRED,Payload validation,Token reading photo is required,"At callable validation this attempt is refused before its write. The same validator also runs during derivation, when a transaction already exists. Check the original ID after any uncertain attempt.",Capture or restore the photograph for the named evidence tag; verify its URI and upload. An unrelated photo does not satisfy this requirement.,MD-S41:735
MD-E108,TOKEN_READING_REQUIRED,Payload validation,Prepaid water token reading is required,"At callable validation this attempt is refused before its write. The same validator also runs during derivation, when a transaction already exists. Check the original ID after any uncertain attempt.",Recheck the water subtype and required creation reading/token reading plus its photograph; escalate undefined units rather than guessing.,MD-S41:733
MD-E109,UNAUTHENTICATED,Batch preparation / submission / derivation,Authentication is required.,Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Sign in with the intended account, preserve the existing draft and retry after the session is restored.",MD-S43:1222
MD-E110,UNKNOWN_QUEUE_FORM_TYPE,Local queue / connectivity,This local queue item does not have a recognised form type and cannot be synced safely.,Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Preserve the draft and report transaction/queue ID, exact message, route and build. Retry the same record when the underlying condition is resolved.",MD-S17:197
